Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality
2023-10-31,S005,P0009,Electronics,North,196.0,91,126,99.03,34.96,15,Sunny,1,33.35,Summer
2022-11-21,S004,P0018,Electronics,West,298.0,39,142,29.8,99.25,20,Sunny,1,100.15,Winter
2022-04-02,S002,P0016,Electronics,North,,21,184,25.82,85.6,10,Cloudy,1,86.35,Winter
2022-08-25,S003,P0019,Furniture,South,93.0,57,70,56.7,74.93,5,Snowy,1,78.12,Spring
2022-12-12,S005,P0011,Groceries,North,445.0,246,63,239.34,85.95,0,Sunny,1,87.42,Spring
2022-01-03,S004,P0015,Groceries,South,423.0,85,73,95.5,73.48,0,Rainy,0,77.0,Spring
2023-04-06,S001,P0002,Electronics,North,500.0,47,169,56.11,19.01,0,Rainy,1,16.09,Winter
2023-03-13,S004,P0009,Furniture,West,164.0,164,70,183.12,65.41,5,Snowy,1,69.87,Autumn
2022-01-20,S003,P0006,Toys,North,496.0,193,41,187.22,79.38,15,Sunny,1,75.74,Autumn
2022-01-15,S005,P0012,Furniture,North,212.0,21,105,11.37,35.15,0,Cloudy,0,38.63,Spring
2023-05-30,S005,P0008,Clothing,North,85.0,40,200,45.48,30.93,0,Rainy,0,28.88,Summer
2022-10-29,S003,P0014,Clothing,North,379.0,227,32,229.64,25.5,20,Rainy,0,20.6,Summer
2022-05-22,S005,P0013,Groceries,South,245.0,84,188,76.62,50.04,15,Sunny,1,52.32,Spring
2022-04-12,S003,P0014,Groceries,South,248.0,193,133,189.32,80.45,0,Rainy,1,80.5,Spring
2022-01-08,S004,P0014,Furniture,East,311.0,256,168,267.54,51.94,10,Snowy,0,54.91,Winter
2022-08-29,S005,P0015,Toys,East,475.0,248,188,257.48,35.52,20,Cloudy,1,38.17,Autumn
2022-05-17,S004,P0017,Furniture,South,454.0,307,78,300.58,69.1,5,Rainy,0,72.42,Autumn
2023-05-21,S003,P0003,Electronics,West,118.0,64,102,64.39,20.3,15,Rainy,0,21.29,Summer
2022-11-18,S004,P0019,Clothing,South,216.0,206,47,216.17,37.62,15,,1,41.02,Summer
2022-01-30,S003,P0002,Furniture,West,102.0,99,54,89.84,74.44,10,Rainy,1,73.0,Autumn
2022-06-08,S005,P0001,Electronics,South,177.0,161,107,174.54,49.5,10,Cloudy,1,50.77,Spring
2023-04-07,S003,P0009,Clothing,West,218.0,124,59,129.21,43.75,15,Sunny,1,48.08,Autumn
2022-08-13,S003,P0017,Toys,West,306.0,113,67,130.13,24.26,20,Snowy,1,27.12,Summer
2023-07-13,S003,P0008,Electronics,West,479.0,17,88,12.23,17.49,15,Sunny,1,18.46,Autumn
2023-03-08,S002,P0003,Groceries,South,229.0,176,161,167.5,84.69,0,Cloudy,1,86.24,Winter
2023-12-17,S004,P0015,Electronics,East,282.0,165,199,159.96,20.91,10,Rainy,0,17.63,Autumn
2023-11-20,S004,P0010,Toys,West,269.0,256,32,273.45,51.29,15,Snowy,0,52.03,Summer
2023-06-03,S003,P0007,Furniture,South,369.0,56,31,49.1,96.16,5,Sunny,0,97.65,Spring
2022-02-17,S002,P0014,Toys,North,416.0,114,195,116.65,84.76,5,Cloudy,1,85.3,Autumn
2023-10-22,S004,P0009,Furniture,West,160.0,74,170,90.93,11.45,0,Snowy,0,9.92,Winter
2022-11-02,S001,P0017,Furniture,East,370.0,320,80,320.3,47.97,20,Sunny,0,49.7,Autumn
2023-02-24,S002,P0014,Toys,South,125.0,116,68,122.76,,0,Cloudy,0,45.64,Winter
2022-09-01,S005,P0005,Furniture,East,60.0,5,37,-2.86,98.47,15,Snowy,0,93.85,Spring
2023-01-12,S003,P0003,Furniture,North,483.0,112,80,107.06,86.88,20,Sunny,1,83.29,Summer
2022-10-17,S004,P0007,Groceries,East,470.0,448,81,467.92,54.65,15,Snowy,1,52.38,Autumn
27/05/2022,S003,P0005,Furniture,East,469.0,225,110,231.61,28.73,5,Snowy,1,28.08,Autumn
2022-12-29,S003,P0017,Electronics,East,240.0,50,167,51.0,14.13,15,Cloudy,0,18.64,Spring
2023-10-15,S001,P0006,Electronics,West,257.0,198,22,194.22,94.54,15,Snowy,1,96.81,Autumn
2022-12-19,S001,P0005,Groceries,North,487.0,34,20,35.34,40.2,5,Sunny,1,44.15,Spring
2023-11-09,S001,P0010,Toys,West,380.0,132,82,133.39,85.74,20,Cloudy,0,89.13,Winter
2023-12-27,S001,P0020,Toys,West,84.0,11,109,12.16,44.14,5,Cloudy,1,39.65,Autumn
2023-03-22,S005,P0013,Groceries,North,325.0,226,170,235.08,53.69,0,Cloudy,1,53.37,Spring
2023-08-29,S005,P0015,Clothing,South,78.0,34,58,47.29,29.16,20,Rainy,1,28.69,Summer
2022-09-13,S003,P0004,,West,260.0,180,195,174.21,67.21,10,Rainy,0,72.2,Spring
2023-11-27,S002,P0018,Clothing,North,351.0,54,144,68.54,80.58,20,,0,80.84,Winter
2023-02-11,S001,P0015,Toys,North,310.0,300,68,311.72,"39,7",5,Sunny,0,38.02,Winter
2022-09-01,S004,P0008,Clothing,North,246.0,65,171,73.91,19.47,10,Rainy,0,20.5,Spring
2023-09-07,S004,P0007,Furniture,West,55.0,12,78,14.96,44.06,0,Rainy,1,42.68,Autumn
2022-11-22,S001,P0010,Clothing,East,206.0,50,121,40.04,12.58,10,Sunny,0,15.59,Autumn
2022-09-02,S004,P0006,Groceries,East,301.0,98,26,98.63,20.63,20,Snowy,0,25.57,Summer
2023-04-21,S005,P0002,Electronics,East,354.0,55,92,71.55,24.99,15,Snowy,0,28.43,Autumn
2023-08-13,S005,P0008,Clothing,East,439.0,93,123,99.71,41.15,0,Cloudy,0,38.94,Autumn
2022-10-23,S004,P0010,Groceries,East,131.0,50,173,53.1,69.34,20,Sunny,1,69.5,Spring
2022-01-12,S004,P0010,Electronics,East,484.0,82,111,91.86,73.59,5,Cloudy,0,69.41,Summer
2022-04-24,S004,P0006,Clothing,West,228.0,130,92,130.44,71.58,15,Snowy,0,71.43,Summer
2023-02-15,S002,P0002,Toys,South,164.0,43,113,50.01,93.73,10,Snowy,0,98.17,Autumn
2022-11-04,S001,P0009,Groceries,East,466.0,75,164,89.77,94.64,0,Sunny,1,90.03,Winter
2022-02-23,S005,P0017,Furniture,West,349.0,272,37,275.9,37.94,20,Sunny,0,35.2,Autumn
2022-11-11,S001,P0001,Clothing,South,101.0,77,154,84.96,34.73,5,Cloudy,0,32.96,Summer
2022-01-19,S003,P0007,Furniture,North,312.0,307,167,318.89,85.7,10,Sunny,0,88.25,Autumn
2023-01-03,S004,P0014,Clothing,North,276.0,162,161,166.38,13.03,20,Rainy,0,8.64,Spring
2022-08-17,S002,P0015,Clothing,North,167.0,127,36,126.38,48.59,15,Snowy,1,45.19,Autumn
2023-06-16,S004,P0010,Furniture,North,160.0,34,132,47.66,21.29,15,Rainy,0,19.43,Winter
2023-06-01,S001,P0015,Electronics,South,203.0,90,168,100.73,35.66,5,Sunny,1,31.43,Spring
2023-01-06,S004,P0009,Clothing,East,105.0,8,25,18.17,64.18,10,Cloudy,0,67.18,Summer
2022-07-27,S001,P0006,Clothing,South,87.0,71,166,88.45,27.99,15,Snowy,1,27.14,Winter
2022-03-19,S001,P0017,Clothing,North,251.0,15,84,20.6,48.5,10,Rainy,1,44.54,Autumn
2023-01-25,S005,P0004,Clothing,South,-83.0,8,22,6.11,38.8,5,Cloudy,1,39.87,Autumn
2022-03-07,S002,P0009,Furniture,West,118.0,52,124,60.26,53.56,15,,0,49.66,Autumn
2022-06-25,S005,P0019,Furniture,North,166.0,153,39,148.0,42.22,5,Snowy,0,40.44,Winter
2022-07-09,S001,P0006,Toys,North,494.0,450,153,466.26,93.4,5,Rainy,0,96.65,Summer
2023-08-02,S001,P0013,Groceries,North,326.0,315,123,307.76,53.12,20,Sunny,0,55.02,Spring
2022-12-06,S002,P0017,Groceries,East,306.0,192,101,194.75,85.74,0,Cloudy,0,85.95,Summer
2022-09-28,S001,P0002,Clothing,North,421.0,260,53,258.72,55.57,10,Cloudy,1,59.93,Autumn
2022-06-21,S004,P0009,Clothing,West,111.0,50,191,66.31,56.86,10,Rainy,0,52.64,Summer
2023-01-22,S005,P0014,Furniture,West,265.0,253,56,265.68,45.92,10,Sunny,1,41.31,Spring
2022-06-28,S002,P0012,Groceries,West,77.0,14,101,21.05,60.97,0,Snowy,0,61.39,Summer
2022-11-01,S004,P0008,Groceries,North,433.0,75,107,92.97,98.51,10,Rainy,1,102.54,Winter
2023-06-18,S003,P0002,Furniture,North,89.0,3,55,10.74,44.13,20,Rainy,1,48.51,Summer
2023-04-19,S003,P0018,Toys,East,404.0,81,174,74.83,44.07,10,Cloudy,0,39.75,Autumn
2022-11-27,S001,P0005,Furniture,South,415.0,372,186,377.36,55.92,5,Sunny,0,60.32,Summer
2023-04-10,S001,P0012,Toys,West,172.0,44,149,50.98,33.73,0,Rainy,1,29.38,Autumn
2023-02-05,S003,P0007,Furniture,South,141.0,65,141,77.01,37.16,20,Sunny,0,41.51,Winter
2023-11-23,S005,P0015,Toys,West,490.0,235,132,247.21,65.24,5,Snowy,0,62.52,Winter
2022-01-04,S005,P0001,Furniture,North,383.0,195,175,214.04,21.71,20,Rainy,0,24.12,Winter
2023-01-27,S005,P0004,Furniture,North,281.0,97,186,116.27,23.85,20,Snowy,1,25.99,Summer
2022-02-02,S005,P0009,Electronics,South,102.0,52,34,50.83,74.01,15,Snowy,0,76.59,Winter
2023-12-05,S005,P0007,Furniture,North,310.0,196,186,207.72,66.3,20,Sunny,1,62.51,Winter
2023-04-06,S001,P0005,Toys,South,164.0,164,160,158.53,99.18,5,Sunny,0,102.82,Winter
2022-02-11,S002,P0010,DESCONOCIDO,West,490.0,438,35,428.92,83.92,5,Snowy,0,81.68,Spring
2023-04-13,S004,P0008,Furniture,West,65.0,1,196,12.31,31.28,5,Snowy,1,32.42,Autumn
2023-03-29,S003,P0008,Furniture,West,290.0,220,164,226.25,10.94,5,Cloudy,1,12.24,Autumn
2022-06-04,S004,P0006,Groceries,North,98.0,20,28,26.54,63.33,20,Rainy,1,64.71,Summer
2023-05-13,S004,P0002,Toys,South,442.0,17,198,25.19,19.62,20,Sunny,1,16.12,Spring
2023-04-29,S001,P0001,Furniture,North,217.0,28,104,18.1,99.67,5,Sunny,1,98.05,Autumn
2022-12-10,S004,P0008,Clothing,West,131.0,22,113,30.13,80.65,0,Sunny,0,82.55,Summer
2023-02-09,S004,P0008,Groceries,North,94.0,25,84,16.9,22.0,20,Rainy,0,22.71,Summer
2023-12-03,S001,P0015,Electronics,East,364.0,361,65,378.75,53.63,10,Sunny,1,56.75,Spring
2022-05-07,S002,P0011,Groceries,South,380.0,267,115,261.69,75.92,0,Cloudy,1,71.62,Winter
2023-02-25,S002,P0002,Toys,West,466.0,423,50,419.97,71.3,10,Snowy,1,69.26,Autumn
2023-11-18,S005,P0012,Groceries,West,,426,198,423.2,,5,Cloudy,1,67.91,Winter
2023-12-11,S005,P0010,Electronics,North,415.0,46,135,49.89,66.3,10,Sunny,1,61.38,Winter
2022-07-27,S002,P0008,Electronics,East,361.0,169,156,188.51,98.06,0,Snowy,1,96.72,Summer
2022-10-31,S001,P0006,Furniture,South,208.0,109,196,108.25,30.7,10,Sunny,1,27.78,Winter
